reactant_id_no_underbar,reactant_smi,maa_strings,mca_strings,error,reactant_id,rxn_id,mapped_atoms
0reac0,CC1=CC=C(C=C1)[OH:10],"{'4': {'MAA Value [kJ/mol]': 83.24565015849657, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 59.45850921433885, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 59.45850921433885, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 43.120018369867466, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 43.120018369867466, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 19.041196800069883, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'3': {'MCA Value [kJ/mol]': 349.77658005361445, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 349.77658005361445, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 349.0033286776161, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '6': {'MCA Value [kJ/mol]': 318.70982857467607, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 318.70982857467607, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 270.77877186704427, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 267.3986216193298, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Phenol'}}",,0_0,0,{10: 7}
0reac1,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,"{'6': {'MAA Value [kJ/mol]': 425.965820267098, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Carbocation'}, '0': {'MAA Value [kJ/mol]': 346.9328660105821, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 346.9328660105821, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '16': {'MAA Value [kJ/mol]': 346.9328660105821, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '8': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '18': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '14': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '4': {'MAA Value [kJ/mol]': 327.17557915486395, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 302.8686170806177, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 302.8686170806177, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '13': {'MAA Value [kJ/mol]': 302.8686170806177, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '17': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '15': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '11': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '9': {'MAA Value [kJ/mol]': 161.73452127631754, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'5': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '17': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '15': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '9': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '11': {'MCA Value [kJ/mol]': 258.05696041858755, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '18': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '8': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '12': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '14': {'MCA Value [kJ/mol]': 250.13060468970798, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 243.68387918174267, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '0': {'MCA Value [kJ/mol]': 243.68387918174267, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '16': {'MCA Value [kJ/mol]': 243.68387918174267, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 174.12930040550418, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 174.12930040550418, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '13': {'MCA Value [kJ/mol]': 174.12930040550418, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}",,0_1,0,{20: 6}
1reac0,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],"{'1': {'MAA Value [kJ/mol]': 460.4268784932792, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Carbocation'}, '11': {'MAA Value [kJ/mol]': 418.4448061231524, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 324.36982930265367, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': 311.5945783779025, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '9': {'MAA Value [kJ/mol]': 305.94697370007634, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '8': {'MAA Value [kJ/mol]': 283.3709298931062, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 143.90149107575417, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}}","{'11': {'MCA Value [kJ/mol]': 296.09805232752115, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}, '9': {'MCA Value [kJ/mol]': 285.26506908610463, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 266.2061460549012, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 265.7834891071543, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}, '12': {'MCA Value [kJ/mol]': 248.0027763498947, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Double bond'}, '14': {'MCA Value [kJ/mol]': 213.84679946303368, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Phenol'}, '13': {'MCA Value [kJ/mol]': 203.52371606230736, 'Error Log (Reactant, Product)': 'Connectivity, Connectivity', 'Type': 'Atom with lone pair'}, '8': {'MCA Value [kJ/mol]': 201.16158956568688, 'Error Log (Reactant, Product)': 'Connectivity, None', 'Type': 'Double bond'}}",,1_0,1,"{20: 1, 10: 14}"
2reac0,N#N,"{'0': {'MAA Value [kJ/mol]': -79.18654327030526, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Triple bond'}, '1': {'MAA Value [kJ/mol]': -79.18654327030526, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Triple bond'}}","{'0': {'MCA Value [kJ/mol]': 206.68189662357327, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Atom with lone pair'}, '1': {'MCA Value [kJ/mol]': 206.68189662357327, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Atom with lone pair'}}",,2_0,2,{}
2reac1,CC(C)=[O:10],"{'1': {'MAA Value [kJ/mol]': 137.3800449213013, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Ketone'}, '3': {'MAA Value [kJ/mol]': -69.95245241874363, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'3': {'MCA Value [kJ/mol]': 346.4248559329426, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Ketone'}, '1': {'MCA Value [kJ/mol]': 240.84142082405742, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}}",,2_1,2,{10: 3}
2reac2,[CH2+:20]C1=CC=CC=C1,"{'0': {'MAA Value [kJ/mol]': 551.4737943068612, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Carbocation'}, '4': {'MAA Value [kJ/mol]': 426.0703687343048, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 410.5219616270624, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 410.5219616270624, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 399.42749087826815, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 124.17328957805876, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 124.17328957805876, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'5': {'MCA Value [kJ/mol]': 202.0555986505933, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 202.0555986505933, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '6': {'MCA Value [kJ/mol]': 183.43457052949816, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 183.43457052949816, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 166.1737995541189, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 140.07226348377299, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}",,2_2,2,{20: 0}
3reac0,C1C[O:10]C1,{},"{'2': {'MCA Value [kJ/mol]': 359.9536007272545, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Ether'}}",,3_0,3,{10: 2}
3reac1,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,"{'6': {'MAA Value [kJ/mol]': 481.92995037930086, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Carbocation'}, '0': {'MAA Value [kJ/mol]': 377.7654907205142, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 377.7654907205142, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 361.82052459870465, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '4': {'MAA Value [kJ/mol]': 361.82052459870465, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': 361.82052459870465, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '8': {'MAA Value [kJ/mol]': 361.82052459870465, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 338.4549266612157, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 338.4549266612157, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 177.5666753607802, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 177.5666753607802, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '9': {'MAA Value [kJ/mol]': 177.5666753607802, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '11': {'MAA Value [kJ/mol]': 177.5666753607802, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'8': {'MCA Value [kJ/mol]': 243.11054634745233, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '12': {'MCA Value [kJ/mol]': 243.11054634745233, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 243.11054634745233, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 243.11054634745233, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '9': {'MCA Value [kJ/mol]': 242.97136068018153, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '11': {'MCA Value [kJ/mol]': 242.97136068018153, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 242.97136068018153, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 242.97136068018153, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '0': {'MCA Value [kJ/mol]': 229.27007203479297, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 229.27007203479297, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 200.70351033494808, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 200.70351033494808, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}",,3_1,3,{20: 6}
4reac0,CC1=CCC(CC1)[C+:20](C)C,"{'7': {'MAA Value [kJ/mol]': 486.12322594900616, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Carbocation'}, '1': {'MAA Value [kJ/mol]': 386.4412517747842, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 131.22293089306913, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}}","{'2': {'MCA Value [kJ/mol]': 365.0386885232292, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 356.44354633428156, 'Error Log (Reactant, Product)': 'None, Connectivity', 'Type': 'Double bond'}}",,4_0,4,{20: 7}
4reac1,CC1(C2CC1C3(C(C2)[O:10]3)C)C,{},"{'8': {'MCA Value [kJ/mol]': 342.7870675979648, 'Error Log (Reactant, Product)': 'None, None', 'Type': 'Ether'}}",,4_1,4,{10: 8}
