,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Type,reactant_error,product_error
0,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,4,83.24565015849657,Double bond,None,None
1,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,2,59.45850921433885,Double bond,None,None
2,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,6,59.45850921433885,Double bond,None,None
3,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,3,43.120018369867466,Double bond,None,None
4,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,5,43.120018369867466,Double bond,None,None
5,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,1,19.041196800069883,Double bond,None,None
6,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,6,425.965820267098,Carbocation,None,None
7,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,0,346.9328660105821,Double bond,None,None
8,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,10,346.9328660105821,Double bond,None,None
9,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,16,346.9328660105821,Double bond,None,None
10,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,2,327.17557915486395,Double bond,None,None
11,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,8,327.17557915486395,Double bond,None,None
12,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,18,327.17557915486395,Double bond,None,None
13,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,14,327.17557915486395,Double bond,None,None
14,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,12,327.17557915486395,Double bond,None,None
15,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,4,327.17557915486395,Double bond,None,None
16,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,3,302.8686170806177,Double bond,None,Connectivity
17,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,7,302.8686170806177,Double bond,None,Connectivity
18,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,13,302.8686170806177,Double bond,None,Connectivity
19,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,17,161.73452127631754,Double bond,None,None
20,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,15,161.73452127631754,Double bond,None,None
21,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,1,161.73452127631754,Double bond,None,None
22,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,5,161.73452127631754,Double bond,None,None
23,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,11,161.73452127631754,Double bond,None,None
24,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,9,161.73452127631754,Double bond,None,None
25,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,1,460.4268784932792,Carbocation,Connectivity,None
26,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,11,418.4448061231524,Double bond,Connectivity,Connectivity
27,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,10,324.36982930265367,Double bond,Connectivity,Connectivity
28,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,12,311.5945783779025,Double bond,Connectivity,Connectivity
29,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,9,305.94697370007634,Double bond,Connectivity,Connectivity
