,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Type,reactant_error,product_error
0,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,4,519.1732726192567,Double bond,None,Connectivity
1,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,3,473.2396332034841,Imine,None,None
2,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,8,307.97331930487417,Double bond,None,None
3,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,6,305.5922424243763,Double bond,None,None
4,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,10,305.5922424243763,Double bond,None,None
5,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,7,293.5927517237142,Double bond,None,None
6,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,9,293.5927517237142,Double bond,None,None
7,CCC/[N:10]=C/C1=CC=CC=C1,24,{10: 3},24reac0,5,252.392696053721,Double bond,None,Connectivity
8,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,8,307.0940770858433,Atom with lone pair,None,None
9,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,11,303.8876247906592,Atom with lone pair,None,None
10,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,4,279.26028266036883,Double bond,None,None
11,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,6,274.9507073101122,Double bond,None,None
12,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,7,263.89680379698984,Double bond,None,Connectivity
13,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,3,258.8794589799363,Double bond,None,None
14,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,5,253.02399101224728,Double bond,None,None
15,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,2,243.72116648871452,Double bond,None,None
16,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,9,237.3669598621782,Atom with lone pair,None,None
17,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,1,236.43822007835843,Double bond,None,None
18,C1C2=C(C=CC=C2)[C:20](=[O:21])OC1=O,24,"{20: 7, 21: 8}",24reac1,10,198.1448328862898,Double bond,None,Connectivity
19,CCC(CC)O,26,{},26reac0,5,328.8981492121238,Atom with lone pair,None,None
20,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,5,454.39422014029697,Double bond,None,Connectivity
21,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,6,268.4834690489806,Atom with lone pair,None,None
22,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,8,254.47250257665291,Silyl ether,None,Connectivity
23,CCC(C(C)[C:20](=[O:21])Cl)O[Si](C)(C)C(C)(C)C,26,"{20: 5, 21: 6}",26reac1,7,223.78393738158047,Atom with lone pair,None,None
24,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,6,498.23423211602494,Imine,None,None
25,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,1,421.50945936259814,Amine,None,None
26,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,4,390.0544229154475,Double bond,None,None
27,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,8,390.0544229154475,Double bond,None,None
28,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,3,285.8832177363802,Double bond,None,Connectivity
29,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,5,267.35726737976074,Double bond,None,None
30,CN(C)C1=CC=[N:10]C=C1,26,{10: 6},26reac2,7,267.35726737976074,Double bond,None,None
31,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,3,480.78721357882023,Amine,None,None
32,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,5,452.09418205195107,Double bond,None,Connectivity
33,C1CC([NH:10]C1)C(=O)N,33,{10: 3},33reac0,6,382.90777437761426,Amide,None,None
