reactant_id_no_underbar,reactant_smi,maa_strings,mca_strings,error,reactant_id,rxn_id,mapped_atoms
0reac0,CC1=CC=C(C=C1)[OH:10],"{'4': {'MAA Value [kJ/mol]': 86.01043046912898, 'Est. Error [kJ/mol]': 10.96985741260685, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 71.33609608926216, 'Est. Error [kJ/mol]': 18.59753345637519, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 71.33609608926216, 'Est. Error [kJ/mol]': 18.59753345637519, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 48.08632114941269, 'Est. Error [kJ/mol]': 10.654745893433706, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 48.08632114941269, 'Est. Error [kJ/mol]': 10.654745893433706, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 35.13639502523402, 'Est. Error [kJ/mol]': 17.008656724744228, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'1': {'MCA Value [kJ/mol]': 355.5628302949795, 'Est. Error [kJ/mol]': 12.569008928141749, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 342.52902395615666, 'Est. Error [kJ/mol]': 11.600087370530185, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 342.52902395615666, 'Est. Error [kJ/mol]': 11.600087370530185, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MCA Value [kJ/mol]': 316.78573901385084, 'Est. Error [kJ/mol]': 10.393408226475069, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 316.78573901385084, 'Est. Error [kJ/mol]': 10.393408226475069, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 278.95115785633396, 'Est. Error [kJ/mol]': 12.33717789772296, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 264.5136031436312, 'Est. Error [kJ/mol]': 10.627170108246458, 'Reactant': 'Show', 'Type': 'Phenol'}}",,0_0,0,{10: 7}
10reac1,CC(C)=[O:10],"{'1': {'MAA Value [kJ/mol]': 163.74409044862412, 'Est. Error [kJ/mol]': 27.57419399346538, 'Reactant': 'Show', 'Type': 'Ketone'}, '3': {'MAA Value [kJ/mol]': -53.30024034689819, 'Est. Error [kJ/mol]': 21.855673544547432, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'3': {'MCA Value [kJ/mol]': 319.7389933144801, 'Est. Error [kJ/mol]': 15.958606346794204, 'Reactant': 'Show', 'Type': 'Ketone'}, '1': {'MCA Value [kJ/mol]': 198.85989737829144, 'Est. Error [kJ/mol]': 50.59039638202236, 'Reactant': 'Show', 'Type': 'Double bond'}}",,10_1,10,{10: 3}
10reac0,N#N,"{'0': {'MAA Value [kJ/mol]': 319.0872962595681, 'Est. Error [kJ/mol]': 27.54563707868732, 'Reactant': 'Show', 'Type': 'Triple bond'}, '1': {'MAA Value [kJ/mol]': 319.0872962595681, 'Est. Error [kJ/mol]': 27.54563707868732, 'Reactant': 'Show', 'Type': 'Triple bond'}}","{'0': {'MCA Value [kJ/mol]': 207.34065315195738, 'Est. Error [kJ/mol]': 32.67882983965347, 'Reactant': 'Show', 'Type': 'Atom with lone pair'}, '1': {'MCA Value [kJ/mol]': 207.34065315195738, 'Est. Error [kJ/mol]': 32.67882983965347, 'Reactant': 'Show', 'Type': 'Atom with lone pair'}}",,10_0,10,{}
8reac0,CC1=CC=C(C=C1)[OH:10],"{'4': {'MAA Value [kJ/mol]': 86.01043046912898, 'Est. Error [kJ/mol]': 10.96985741260685, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 71.33609608926216, 'Est. Error [kJ/mol]': 18.59753345637519, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 71.33609608926216, 'Est. Error [kJ/mol]': 18.59753345637519, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 48.08632114941269, 'Est. Error [kJ/mol]': 10.654745893433706, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 48.08632114941269, 'Est. Error [kJ/mol]': 10.654745893433706, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 35.13639502523402, 'Est. Error [kJ/mol]': 17.008656724744228, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'1': {'MCA Value [kJ/mol]': 355.5628302949795, 'Est. Error [kJ/mol]': 12.569008928141749, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 342.52902395615666, 'Est. Error [kJ/mol]': 11.600087370530185, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 342.52902395615666, 'Est. Error [kJ/mol]': 11.600087370530185, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MCA Value [kJ/mol]': 316.78573901385084, 'Est. Error [kJ/mol]': 10.393408226475069, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 316.78573901385084, 'Est. Error [kJ/mol]': 10.393408226475069, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 278.95115785633396, 'Est. Error [kJ/mol]': 12.33717789772296, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 264.5136031436312, 'Est. Error [kJ/mol]': 10.627170108246458, 'Reactant': 'Show', 'Type': 'Phenol'}}",,8_0,8,{10: 7}
2reac0,N#N,"{'0': {'MAA Value [kJ/mol]': 319.0872962595681, 'Est. Error [kJ/mol]': 27.54563707868732, 'Reactant': 'Show', 'Type': 'Triple bond'}, '1': {'MAA Value [kJ/mol]': 319.0872962595681, 'Est. Error [kJ/mol]': 27.54563707868732, 'Reactant': 'Show', 'Type': 'Triple bond'}}","{'0': {'MCA Value [kJ/mol]': 207.34065315195738, 'Est. Error [kJ/mol]': 32.67882983965347, 'Reactant': 'Show', 'Type': 'Atom with lone pair'}, '1': {'MCA Value [kJ/mol]': 207.34065315195738, 'Est. Error [kJ/mol]': 32.67882983965347, 'Reactant': 'Show', 'Type': 'Atom with lone pair'}}",,2_0,2,{}
5reac0,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,"{'11': {'MAA Value [kJ/mol]': 223.21496389105482, 'Est. Error [kJ/mol]': 27.434253181518017, 'Reactant': 'Show', 'Type': 'Double bond'}, '15': {'MAA Value [kJ/mol]': 223.21496389105482, 'Est. Error [kJ/mol]': 27.434253181518017, 'Reactant': 'Show', 'Type': 'Double bond'}, '13': {'MAA Value [kJ/mol]': 222.0655340567485, 'Est. Error [kJ/mol]': 25.82540314204196, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 207.07688407467256, 'Est. Error [kJ/mol]': 42.679935800439694, 'Reactant': 'Show', 'Type': 'Carbocation'}, '12': {'MAA Value [kJ/mol]': 198.29375116871867, 'Est. Error [kJ/mol]': 36.79611988316398, 'Reactant': 'Show', 'Type': 'Double bond'}, '14': {'MAA Value [kJ/mol]': 198.29375116871867, 'Est. Error [kJ/mol]': 36.79611988316398, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 151.14244945475068, 'Est. Error [kJ/mol]': 41.583808576456946, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'9': {'MCA Value [kJ/mol]': 324.1401071578923, 'Est. Error [kJ/mol]': 18.68651198917507, 'Reactant': 'Show', 'Type': 'Ether'}, '11': {'MCA Value [kJ/mol]': 266.29059938948444, 'Est. Error [kJ/mol]': 21.236681949483764, 'Reactant': 'Show', 'Type': 'Double bond'}, '15': {'MCA Value [kJ/mol]': 266.29059938948444, 'Est. Error [kJ/mol]': 21.236681949483764, 'Reactant': 'Show', 'Type': 'Double bond'}, '13': {'MCA Value [kJ/mol]': 257.52346312409526, 'Est. Error [kJ/mol]': 23.15940209209914, 'Reactant': 'Show', 'Type': 'Double bond'}, '12': {'MCA Value [kJ/mol]': 241.41472194029473, 'Est. Error [kJ/mol]': 17.388729437693634, 'Reactant': 'Show', 'Type': 'Double bond'}, '14': {'MCA Value [kJ/mol]': 241.41472194029473, 'Est. Error [kJ/mol]': 17.388729437693634, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 236.30074023388553, 'Est. Error [kJ/mol]': 26.00230610262298, 'Reactant': 'Show', 'Type': 'Double bond'}}",,5_0,5,"{20: 5, 10: 9}"
6reac0,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],"{'1': {'MAA Value [kJ/mol]': 122.96298681111239, 'Est. Error [kJ/mol]': 16.656174862375142, 'Reactant': 'Show', 'Type': 'Ester'}, '9': {'MAA Value [kJ/mol]': 86.55557706806776, 'Est. Error [kJ/mol]': 12.623366541340305, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 73.14568403097078, 'Est. Error [kJ/mol]': 23.144551380601907, 'Reactant': 'Show', 'Type': 'Double bond'}, '8': {'MAA Value [kJ/mol]': 67.63304188726003, 'Est. Error [kJ/mol]': 9.063294618364193, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 67.63304188726003, 'Est. Error [kJ/mol]': 9.063294618364193, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 61.71472765329098, 'Est. Error [kJ/mol]': 20.618340935856835, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MAA Value [kJ/mol]': 61.71472765329098, 'Est. Error [kJ/mol]': 20.618340935856835, 'Reactant': 'Show', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': -93.59544982231415, 'Est. Error [kJ/mol]': 24.065687793542192, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'12': {'MCA Value [kJ/mol]': 323.91039896573756, 'Est. Error [kJ/mol]': 11.375202543092863, 'Reactant': 'Show', 'Type': 'Ester'}, '9': {'MCA Value [kJ/mol]': 312.1303067399847, 'Est. Error [kJ/mol]': 11.600677683677224, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MCA Value [kJ/mol]': 298.39035882579043, 'Est. Error [kJ/mol]': 15.01861143331971, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 298.39035882579043, 'Est. Error [kJ/mol]': 15.01861143331971, 'Reactant': 'Show', 'Type': 'Double bond'}, '8': {'MCA Value [kJ/mol]': 294.9417267163318, 'Est. Error [kJ/mol]': 11.21056775049324, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 294.9417267163318, 'Est. Error [kJ/mol]': 11.21056775049324, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MCA Value [kJ/mol]': 268.0430775103483, 'Est. Error [kJ/mol]': 22.025205458264512, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 253.68503553669933, 'Est. Error [kJ/mol]': 21.59742052914965, 'Reactant': 'Show', 'Type': 'Atom with lone pair'}, '1': {'MCA Value [kJ/mol]': 57.089307956579724, 'Est. Error [kJ/mol]': 33.95606792598893, 'Reactant': 'Show', 'Type': 'Double bond'}}",,6_0,6,{10: 12}
8reac1,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,"{'8': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '14': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '18': {'MAA Value [kJ/mol]': 268.7290775196058, 'Est. Error [kJ/mol]': 27.72709265023937, 'Reactant': 'Show', 'Type': 'Double bond'}, '0': {'MAA Value [kJ/mol]': 209.8894341308798, 'Est. Error [kJ/mol]': 32.50061095371357, 'Reactant': 'Show', 'Type': 'Double bond'}, '16': {'MAA Value [kJ/mol]': 209.8894341308798, 'Est. Error [kJ/mol]': 32.50061095371357, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 209.8894341308798, 'Est. Error [kJ/mol]': 32.50061095371357, 'Reactant': 'Show', 'Type': 'Double bond'}, '6': {'MAA Value [kJ/mol]': 208.08138600915865, 'Est. Error [kJ/mol]': 33.266191829582155, 'Reactant': 'Show', 'Type': 'Carbocation'}, '5': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '17': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '15': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '9': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 203.53419118311058, 'Est. Error [kJ/mol]': 27.577903129167304, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 147.42290604839243, 'Est. Error [kJ/mol]': 24.70639790090518, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 147.42290604839243, 'Est. Error [kJ/mol]': 24.70639790090518, 'Reactant': 'Show', 'Type': 'Double bond'}, '13': {'MAA Value [kJ/mol]': 147.42290604839243, 'Est. Error [kJ/mol]': 24.70639790090518, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'12': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '14': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '8': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '18': {'MCA Value [kJ/mol]': 256.6691089408846, 'Est. Error [kJ/mol]': 17.572359186129624, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 250.1590465476206, 'Est. Error [kJ/mol]': 21.799898203019993, 'Reactant': 'Show', 'Type': 'Double bond'}, '0': {'MCA Value [kJ/mol]': 250.1590465476206, 'Est. Error [kJ/mol]': 21.799898203019993, 'Reactant': 'Show', 'Type': 'Double bond'}, '16': {'MCA Value [kJ/mol]': 250.1590465476206, 'Est. Error [kJ/mol]': 21.799898203019993, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '17': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '15': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '9': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 245.72754034682183, 'Est. Error [kJ/mol]': 16.266730582386632, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 237.66340438235676, 'Est. Error [kJ/mol]': 20.17929595279958, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 237.66340438235676, 'Est. Error [kJ/mol]': 20.17929595279958, 'Reactant': 'Show', 'Type': 'Double bond'}, '13': {'MCA Value [kJ/mol]': 237.66340438235676, 'Est. Error [kJ/mol]': 20.17929595279958, 'Reactant': 'Show', 'Type': 'Double bond'}}",,8_1,8,{20: 6}
3reac1,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,"{'6': {'MAA Value [kJ/mol]': 286.810841207918, 'Est. Error [kJ/mol]': 30.575088363140623, 'Reactant': 'Show', 'Type': 'Carbocation'}, '8': {'MAA Value [kJ/mol]': 266.17867299470817, 'Est. Error [kJ/mol]': 28.74850070169912, 'Reactant': 'Show', 'Type': 'Double bond'}, '12': {'MAA Value [kJ/mol]': 266.17867299470817, 'Est. Error [kJ/mol]': 28.74850070169912, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MAA Value [kJ/mol]': 266.17867299470817, 'Est. Error [kJ/mol]': 28.74850070169912, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MAA Value [kJ/mol]': 266.17867299470817, 'Est. Error [kJ/mol]': 28.74850070169912, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MAA Value [kJ/mol]': 225.06564618867677, 'Est. Error [kJ/mol]': 23.88648383208689, 'Reactant': 'Show', 'Type': 'Double bond'}, '0': {'MAA Value [kJ/mol]': 225.06564618867677, 'Est. Error [kJ/mol]': 23.88648383208689, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MAA Value [kJ/mol]': 211.3987540506026, 'Est. Error [kJ/mol]': 35.16677460624609, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MAA Value [kJ/mol]': 211.3987540506026, 'Est. Error [kJ/mol]': 35.16677460624609, 'Reactant': 'Show', 'Type': 'Double bond'}, '9': {'MAA Value [kJ/mol]': 211.3987540506026, 'Est. Error [kJ/mol]': 35.16677460624609, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MAA Value [kJ/mol]': 211.3987540506026, 'Est. Error [kJ/mol]': 35.16677460624609, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MAA Value [kJ/mol]': 189.590663042426, 'Est. Error [kJ/mol]': 31.1716764785814, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MAA Value [kJ/mol]': 189.590663042426, 'Est. Error [kJ/mol]': 31.1716764785814, 'Reactant': 'Show', 'Type': 'Double bond'}}","{'8': {'MCA Value [kJ/mol]': 254.809337445541, 'Est. Error [kJ/mol]': 20.97569042931286, 'Reactant': 'Show', 'Type': 'Double bond'}, '12': {'MCA Value [kJ/mol]': 254.809337445541, 'Est. Error [kJ/mol]': 20.97569042931286, 'Reactant': 'Show', 'Type': 'Double bond'}, '2': {'MCA Value [kJ/mol]': 254.809337445541, 'Est. Error [kJ/mol]': 20.97569042931286, 'Reactant': 'Show', 'Type': 'Double bond'}, '4': {'MCA Value [kJ/mol]': 254.809337445541, 'Est. Error [kJ/mol]': 20.97569042931286, 'Reactant': 'Show', 'Type': 'Double bond'}, '10': {'MCA Value [kJ/mol]': 246.41944639811518, 'Est. Error [kJ/mol]': 22.339363915182762, 'Reactant': 'Show', 'Type': 'Double bond'}, '0': {'MCA Value [kJ/mol]': 246.41944639811518, 'Est. Error [kJ/mol]': 22.339363915182762, 'Reactant': 'Show', 'Type': 'Double bond'}, '5': {'MCA Value [kJ/mol]': 235.90632204502916, 'Est. Error [kJ/mol]': 18.228339705694726, 'Reactant': 'Show', 'Type': 'Double bond'}, '1': {'MCA Value [kJ/mol]': 235.90632204502916, 'Est. Error [kJ/mol]': 18.228339705694726, 'Reactant': 'Show', 'Type': 'Double bond'}, '9': {'MCA Value [kJ/mol]': 235.90632204502916, 'Est. Error [kJ/mol]': 18.228339705694726, 'Reactant': 'Show', 'Type': 'Double bond'}, '11': {'MCA Value [kJ/mol]': 235.90632204502916, 'Est. Error [kJ/mol]': 18.228339705694726, 'Reactant': 'Show', 'Type': 'Double bond'}, '3': {'MCA Value [kJ/mol]': 193.98928028688397, 'Est. Error [kJ/mol]': 20.958315760449004, 'Reactant': 'Show', 'Type': 'Double bond'}, '7': {'MCA Value [kJ/mol]': 193.98928028688397, 'Est. Error [kJ/mol]': 20.958315760449004, 'Reactant': 'Show', 'Type': 'Double bond'}}",,3_1,3,{20: 6}
4reac1,CC1(C2CC1C3(C(C2)[O:10]3)C)C,{},"{'8': {'MCA Value [kJ/mol]': 397.5383234699905, 'Est. Error [kJ/mol]': 42.73460090183668, 'Reactant': 'Show', 'Type': 'Ether'}}",,4_1,4,{10: 8}
