,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Est. Error [kJ/mol],Type
0,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,4,86.01043046912898,10.96985741260685,Double bond
1,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,2,71.33609608926216,18.59753345637519,Double bond
2,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,6,71.33609608926216,18.59753345637519,Double bond
3,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,3,48.08632114941269,10.654745893433706,Double bond
4,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,5,48.08632114941269,10.654745893433706,Double bond
5,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,1,35.13639502523402,17.008656724744228,Double bond
6,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,8,268.7290775196058,27.72709265023937,Double bond
7,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,12,268.7290775196058,27.72709265023937,Double bond
8,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,2,268.7290775196058,27.72709265023937,Double bond
9,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,14,268.7290775196058,27.72709265023937,Double bond
10,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,4,268.7290775196058,27.72709265023937,Double bond
11,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,18,268.7290775196058,27.72709265023937,Double bond
12,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,0,209.8894341308798,32.50061095371357,Double bond
13,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,16,209.8894341308798,32.50061095371357,Double bond
14,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,10,209.8894341308798,32.50061095371357,Double bond
15,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,6,208.08138600915865,33.266191829582155,Carbocation
16,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,5,203.53419118311058,27.577903129167304,Double bond
17,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,17,203.53419118311058,27.577903129167304,Double bond
18,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,15,203.53419118311058,27.577903129167304,Double bond
19,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,11,203.53419118311058,27.577903129167304,Double bond
20,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,9,203.53419118311058,27.577903129167304,Double bond
21,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,1,203.53419118311058,27.577903129167304,Double bond
22,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,3,147.42290604839243,24.70639790090518,Double bond
23,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,7,147.42290604839243,24.70639790090518,Double bond
24,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,13,147.42290604839243,24.70639790090518,Double bond
25,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,11,267.4533281784634,17.098242887538408,Double bond
26,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,1,220.78254233647846,27.76740299456056,Carbocation
