,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Est. Error [kJ/mol],Type
0,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,1,355.5628302949795,12.569008928141749,Double bond
1,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,5,342.52902395615666,11.600087370530185,Double bond
2,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,3,342.52902395615666,11.600087370530185,Double bond
3,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,6,316.78573901385084,10.393408226475069,Double bond
4,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,2,316.78573901385084,10.393408226475069,Double bond
5,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,4,278.95115785633396,12.33717789772296,Double bond
6,CC1=CC=C(C=C1)[OH:10],0,{10: 7},0reac0,7,264.5136031436312,10.627170108246458,Phenol
7,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,12,256.6691089408846,17.572359186129624,Double bond
8,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,2,256.6691089408846,17.572359186129624,Double bond
9,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,14,256.6691089408846,17.572359186129624,Double bond
10,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,4,256.6691089408846,17.572359186129624,Double bond
11,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,8,256.6691089408846,17.572359186129624,Double bond
12,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,18,256.6691089408846,17.572359186129624,Double bond
13,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,10,250.1590465476206,21.799898203019993,Double bond
14,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,0,250.1590465476206,21.799898203019993,Double bond
15,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,16,250.1590465476206,21.799898203019993,Double bond
16,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,5,245.72754034682183,16.266730582386632,Double bond
17,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,17,245.72754034682183,16.266730582386632,Double bond
18,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,15,245.72754034682183,16.266730582386632,Double bond
19,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,11,245.72754034682183,16.266730582386632,Double bond
20,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,9,245.72754034682183,16.266730582386632,Double bond
21,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,1,245.72754034682183,16.266730582386632,Double bond
22,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,3,237.66340438235676,20.17929595279958,Double bond
23,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,7,237.66340438235676,20.17929595279958,Double bond
24,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6},0reac1,13,237.66340438235676,20.17929595279958,Double bond
25,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,7,309.2424634533928,28.15375352787959,Double bond
26,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,11,309.1281586039893,22.80629203846078,Double bond
27,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,9,302.56127847257693,18.398463096623644,Double bond
28,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,12,287.5242912142837,23.465158876435854,Double bond
29,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,10,253.43626488065792,23.466771260850148,Double bond
30,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,14,249.18873132571056,14.998213748328947,Phenol
31,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,8,241.09781496515805,22.999079562738466,Double bond
32,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}",1reac0,13,216.29303521861766,21.768020040388826,Atom with lone pair
33,N#N,2,{},2reac0,0,207.34065315195738,32.67882983965347,Atom with lone pair
34,N#N,2,{},2reac0,1,207.34065315195738,32.67882983965347,Atom with lone pair
35,CC(C)=[O:10],2,{10: 3},2reac1,3,319.7389933144801,15.958606346794204,Ketone
36,CC(C)=[O:10],2,{10: 3},2reac1,1,198.85989737829144,50.59039638202236,Double bond
37,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,2,254.81156761550827,36.46915695020325,Double bond
38,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,6,254.81156761550827,36.46915695020325,Double bond
39,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,4,239.199689758706,24.93498171277744,Double bond
40,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,3,237.0700067772092,25.115203991931974,Double bond
41,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,5,237.0700067772092,25.115203991931974,Double bond
42,[CH2+:20]C1=CC=CC=C1,2,{20: 0},2reac2,1,229.5953143172861,32.7839458075284,Double bond
43,C1C[O:10]C1,3,{10: 2},3reac0,2,370.40547085215616,23.22608286921081,Ether
44,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,8,254.809337445541,20.97569042931286,Double bond
45,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,12,254.809337445541,20.97569042931286,Double bond
46,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,2,254.809337445541,20.97569042931286,Double bond
47,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,4,254.809337445541,20.97569042931286,Double bond
48,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,10,246.41944639811518,22.339363915182762,Double bond
49,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,0,246.41944639811518,22.339363915182762,Double bond
50,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,5,235.90632204502916,18.228339705694726,Double bond
51,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,1,235.90632204502916,18.228339705694726,Double bond
52,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,9,235.90632204502916,18.228339705694726,Double bond
53,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,11,235.90632204502916,18.228339705694726,Double bond
54,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,3,193.98928028688397,20.958315760449004,Double bond
