,reactant_smi,rxn_id,mapped_atoms
0_0,CC1=CC=C(C=C1)[OH:10],0,{10: 7}
0_1,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,0,{20: 6}
1_0,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],1,"{20: 1, 10: 14}"
2_0,N#N,2,{}
2_1,CC(C)=[O:10],2,{10: 3}
2_2,[CH2+:20]C1=CC=CC=C1,2,{20: 0}
3_0,C1C[O:10]C1,3,{10: 2}
3_1,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6}
4_0,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7}
4_1,CC1(C2CC1C3(C(C2)[O:10]3)C)C,4,{10: 8}
5_0,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}"
6_0,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12}
6_1,[CH2+:20]C2=CC=CC=C2,6,{20: 0}
7_0,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}"
8_0,CC1=CC=C(C=C1)[OH:10],8,{10: 7}
8_1,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6}
9_0,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}"
10_0,N#N,10,{}
10_1,CC(C)=[O:10],10,{10: 3}
10_2,[CH2+:20]C1=CC=CC=C1,10,{20: 0}
11_0,C1C[O:10]C1,11,{10: 2}
11_1,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6}
12_0,CC1=CCC(CC1)[C+:20](C)C,12,{20: 7}
12_1,CC1(C2CC1C3(C(C2)[O:10]3)C)C,12,{10: 8}
13_0,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}"
14_0,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12}
14_1,[CH2+:20]C2=CC=CC=C2,14,{20: 0}
15_0,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}"
16_0,CC1=CC=C(C=C1)[OH:10],16,{10: 7}
16_1,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,16,{20: 6}
17_0,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],17,"{20: 1, 10: 14}"
18_0,N#N,18,{}
