name,success,total_energy_kjmol,heat_of_formation_kcalmol,charge,method,solvent_model,dielectric_constant,source_out,n_atoms,sdf_path,elec_sites,MAA Values [kJ/mol],split
000c3894233c26a3b015883c14603312,True,-191.71089,-45.82,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/000c3894233c26a3b015883c14603312_elec_16.out,31,./mopac_optimized/mopac_opt/parsed_sdf/000c3894233c26a3b015883c14603312_elec_16.sdf,16,142.80343000000002,train
000e06ec69579daf09db08af311e51f7,True,-700.24508,-167.36259,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/000e06ec69579daf09db08af311e51f7_elec_9.out,43,./mopac_optimized/mopac_opt/parsed_sdf/000e06ec69579daf09db08af311e51f7_elec_9.sdf,9,144.02545999999995,train
001928ff712c3ea43419cf7e149cf37f,True,-530.49223,-126.79069,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/001928ff712c3ea43419cf7e149cf37f_elec_3.out,47,./mopac_optimized/mopac_opt/parsed_sdf/001928ff712c3ea43419cf7e149cf37f_elec_3.sdf,3,117.73391999999996,train
002f81965f7444fc81ae0acfebc3151f,True,-704.20068,-168.308,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/002f81965f7444fc81ae0acfebc3151f_elec_13.out,64,./mopac_optimized/mopac_opt/parsed_sdf/002f81965f7444fc81ae0acfebc3151f_elec_13.sdf,13,159.53133000000005,val
003b38175a41b5c511927d10a2a80a08,True,-597.26969,-142.75088,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/003b38175a41b5c511927d10a2a80a08_elec_7.out,57,./mopac_optimized/mopac_opt/parsed_sdf/003b38175a41b5c511927d10a2a80a08_elec_7.sdf,7,67.04525000000001,train
0043f6d39d789b9227240b21a3f21c71,True,-124.35873,-29.72245,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0043f6d39d789b9227240b21a3f21c71_elec_6.out,37,./mopac_optimized/mopac_opt/parsed_sdf/0043f6d39d789b9227240b21a3f21c71_elec_6.sdf,6,90.25075,train
0048fd55bf6fe2f48e0991a9e1aa8991,True,-523.84725,-125.2025,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0048fd55bf6fe2f48e0991a9e1aa8991_elec_10.out,47,./mopac_optimized/mopac_opt/parsed_sdf/0048fd55bf6fe2f48e0991a9e1aa8991_elec_10.sdf,10,87.32476000000003,val
00579a1b36a303861e83c4e2b3382365,True,-491.89125,-117.56483,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00579a1b36a303861e83c4e2b3382365_elec_4.out,53,./mopac_optimized/mopac_opt/parsed_sdf/00579a1b36a303861e83c4e2b3382365_elec_4.sdf,4,150.14853000000005,train
007334e4fd427660f5fc9b5d1646e55b,True,-600.77154,-143.58784,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/007334e4fd427660f5fc9b5d1646e55b_elec_29.out,61,./mopac_optimized/mopac_opt/parsed_sdf/007334e4fd427660f5fc9b5d1646e55b_elec_29.sdf,29,103.34452999999996,train
008257fe33f86aa815834cd38b04be6d,True,-1079.33209,-257.96656,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/008257fe33f86aa815834cd38b04be6d_elec_23.out,66,./mopac_optimized/mopac_opt/parsed_sdf/008257fe33f86aa815834cd38b04be6d_elec_23.sdf,23,144.98532,train
