elec_prod_name,elec_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
f4b58b044985f263b747c430938ca8f6_elec_8,CC1C=C(N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)N=N[C-]1N1CCCC[C@@H]1C,[H]C1=C(N2C([H])([H])C([H])([H])N(S(=O)(=O)c3c([H])c([H])c(Cl)c([H])c3[H])C([H])([H])C2([H])[H])N=N[C-](N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])C1([H])C([H])([H])[H],-1,True,True
fdfb2227c4591fea7726e3cd6f7438fe_elec_12,CN1OC2=C(CCC2)[C-]1C(=O)Nc1cc(Cl)ccc1O,[H]Oc1c([H])c([H])c(Cl)c([H])c1N([H])C(=O)[C-]1C2=C(ON1C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],-1,True,True
8915797f4c1f71dfcbfc4937d1541daa_elec_11,CO[C@@H]1C2C[C@@H](O)CCC2[C@H](C(C)([O-])OCCl)C[C@H]1O,[H]O[C@@]1([H])C([H])([H])C([H])([H])C2([H])C([H])(C1([H])[H])[C@@]([H])(OC([H])([H])[H])[C@]([H])(O[H])C([H])([H])[C@@]2([H])C([O-])(OC([H])([H])Cl)C([H])([H])[H],-1,False,False
ecbe282784e2b57486e2dee10a7c576d_elec_7,CO[C-](N)Cc1c(SC)n(Cc2ccccc2)c2ccc(OCCCC(=O)O)cc12,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c2c(c1[H])c(C([H])([H])[C-](OC([H])([H])[H])N([H])[H])c(SC([H])([H])[H])n2C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],-1,True,True
acf9670b20356f7c7a6f228d4ff2d336_elec_3,CC1C=C(F)C=C[C-]1N1CCN(Cc2coc(-c3ccc(Cl)cc3Cl)n2)CC1,[H]C1=C([H])[C-](N2C([H])([H])C([H])([H])N(C([H])([H])c3nc(-c4c([H])c([H])c(Cl)c([H])c4Cl)oc3[H])C([H])([H])C2([H])[H])C([H])(C([H])([H])[H])C([H])=C1F,-1,True,True
f0fe11d563bb5e9e09ac29b1d495fe98_elec_13,COc1cccc(-c2csc(N[C-](Nc3ccccc3)OC)n2)c1,[H]c1sc(N([H])[C-](OC([H])([H])[H])N([H])c2c([H])c([H])c([H])c([H])c2[H])nc1-c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H],-1,True,True
bb185498e228cece5e811167995daaf9_elec_1,CC1(C)[CH-]C2=C(CN[C@H]3CCc4cc(O)c(O)cc4[C@H]23)S1,[H]Oc1c([H])c2c(c([H])c1O[H])[C@]1([H])C3=C(SC(C([H])([H])[H])(C([H])([H])[H])[C-]3[H])C([H])([H])N([H])[C@@]1([H])C([H])([H])C2([H])[H],-1,True,True
7436d03c67474ba06d9bcd4390d7df26_elec_5,C=C[C@H]1C[C@@H]2OP(=O)(OCC[CH-]C2C)O1,[H]C([H])=C([H])[C@]1([H])OP2(=O)OC([H])([H])C([H])([H])[C-]([H])C([H])(C([H])([H])[H])[C@@]([H])(O2)C1([H])[H],-1,True,True
7c5e822d2d3e234bfeb2780288052310_elec_8,CC1C(NC(=O)c2ccccc2)=CC=C2CC(=O)N(C(=O)c3cccc(Cl)c3)C[C-]21,[H]C1=C2[C-](C([H])([H])N(C(=O)c3c([H])c([H])c([H])c(Cl)c3[H])C(=O)C2([H])[H])C([H])(C([H])([H])[H])C(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])=C1[H],-1,True,True
04dabfe3263920946f1f56ea61611cee_elec_0,CC[CH-]c1cn(-c2ccc(Cl)c(Cl)c2)nn1,[H]c1c([H])c(-n2nnc([C-]([H])C([H])([H])C([H])([H])[H])c2[H])c([H])c(Cl)c1Cl,-1,True,True
