name,success,total_energy_kjmol,heat_of_formation_kcalmol,charge,method,solvent_model,dielectric_constant,source_out,n_atoms,sdf_path,nuc_sites,MCA_values
000c3894233c26a3b015883c14603312,True,757.77116,181.11165,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/000c3894233c26a3b015883c14603312_nuc_9.out,31,./mopac_optimized/mopac_opt/parsed_sdf/000c3894233c26a3b015883c14603312_nuc_9.sdf,9,111.45800000000008
000e06ec69579daf09db08af311e51f7,True,180.35236,43.10525,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/000e06ec69579daf09db08af311e51f7_nuc_25.out,43,./mopac_optimized/mopac_opt/parsed_sdf/000e06ec69579daf09db08af311e51f7_nuc_25.sdf,25,181.56464000000003
001928ff712c3ea43419cf7e149cf37f,True,291.57887,69.68902,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/001928ff712c3ea43419cf7e149cf37f_nuc_13.out,47,./mopac_optimized/mopac_opt/parsed_sdf/001928ff712c3ea43419cf7e149cf37f_nuc_13.sdf,13,213.79944000000006
002f81965f7444fc81ae0acfebc3151f,True,258.48489,61.77937,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/002f81965f7444fc81ae0acfebc3151f_nuc_18.out,64,./mopac_optimized/mopac_opt/parsed_sdf/002f81965f7444fc81ae0acfebc3151f_nuc_18.sdf,18,114.98238000000003
003b38175a41b5c511927d10a2a80a08,True,224.90422,53.7534,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/003b38175a41b5c511927d10a2a80a08_nuc_18.out,57,./mopac_optimized/mopac_opt/parsed_sdf/003b38175a41b5c511927d10a2a80a08_nuc_18.sdf,18,163.00796000000003
0043f6d39d789b9227240b21a3f21c71,True,768.14256,183.59048,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0043f6d39d789b9227240b21a3f21c71_nuc_6.out,37,./mopac_optimized/mopac_opt/parsed_sdf/0043f6d39d789b9227240b21a3f21c71_nuc_6.sdf,6,115.88607999999999
0048fd55bf6fe2f48e0991a9e1aa8991,True,251.22638,60.04455,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0048fd55bf6fe2f48e0991a9e1aa8991_nuc_12.out,47,./mopac_optimized/mopac_opt/parsed_sdf/0048fd55bf6fe2f48e0991a9e1aa8991_nuc_12.sdf,12,230.38775000000004
00579a1b36a303861e83c4e2b3382365,True,474.41417,113.38771,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00579a1b36a303861e83c4e2b3382365_nuc_6.out,53,./mopac_optimized/mopac_opt/parsed_sdf/00579a1b36a303861e83c4e2b3382365_nuc_6.sdf,6,101.97973000000002
007334e4fd427660f5fc9b5d1646e55b,True,258.31815,61.73952,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/007334e4fd427660f5fc9b5d1646e55b_nuc_24.out,61,./mopac_optimized/mopac_opt/parsed_sdf/007334e4fd427660f5fc9b5d1646e55b_nuc_24.sdf,24,162.39146000000005
008257fe33f86aa815834cd38b04be6d,True,-156.15512,-37.32197,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/008257fe33f86aa815834cd38b04be6d_nuc_22.out,66,./mopac_optimized/mopac_opt/parsed_sdf/008257fe33f86aa815834cd38b04be6d_nuc_22.sdf,22,139.94497
0086cdf41cd436b8a5c76f88eacf897f,True,406.84402,97.23805,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0086cdf41cd436b8a5c76f88eacf897f_nuc_13.out,48,./mopac_optimized/mopac_opt/parsed_sdf/0086cdf41cd436b8a5c76f88eacf897f_nuc_13.sdf,13,118.78161
00927dac31fc9c9fa11912cf54c30b78,True,452.71893,108.20242,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00927dac31fc9c9fa11912cf54c30b78_nuc_19.out,51,./mopac_optimized/mopac_opt/parsed_sdf/00927dac31fc9c9fa11912cf54c30b78_nuc_19.sdf,19,204.63367000000005
00938742481fdc149e27acded9c98368,True,123.93794,29.62188,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00938742481fdc149e27acded9c98368_nuc_7.out,51,./mopac_optimized/mopac_opt/parsed_sdf/00938742481fdc149e27acded9c98368_nuc_7.sdf,7,106.70607000000004
009901662c1a9ada86aea89d40e6ea46,True,835.96431,199.80027,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/009901662c1a9ada86aea89d40e6ea46_nuc_0.out,46,./mopac_optimized/mopac_opt/parsed_sdf/009901662c1a9ada86aea89d40e6ea46_nuc_0.sdf,0,-67.89121999999986
009f59f21a61dbdc560887fd489db1cd,True,170.11702,40.65894,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/009f59f21a61dbdc560887fd489db1cd_nuc_9.out,50,./mopac_optimized/mopac_opt/parsed_sdf/009f59f21a61dbdc560887fd489db1cd_nuc_9.sdf,9,190.08624000000006
00a357fc4e4bd8d15834f60eee6974d0,True,684.4397,163.58501,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00a357fc4e4bd8d15834f60eee6974d0_nuc_17.out,49,./mopac_optimized/mopac_opt/parsed_sdf/00a357fc4e4bd8d15834f60eee6974d0_nuc_17.sdf,17,107.25319000000002
00b5bdd3bbfe9cf1f8a6da373b628f6a,True,291.35496,69.63551,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00b5bdd3bbfe9cf1f8a6da373b628f6a_nuc_0.out,50,./mopac_optimized/mopac_opt/parsed_sdf/00b5bdd3bbfe9cf1f8a6da373b628f6a_nuc_0.sdf,0,226.63075000000003
00d142ef8ff65518342e60266b6bcccd,True,127.48098,30.46868,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00d142ef8ff65518342e60266b6bcccd_nuc_18.out,36,./mopac_optimized/mopac_opt/parsed_sdf/00d142ef8ff65518342e60266b6bcccd_nuc_18.sdf,18,-74.19297999999999
00d7a6e64105b2a03ca77b860042613b,True,37.25401,8.90392,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00d7a6e64105b2a03ca77b860042613b_nuc_10.out,57,./mopac_optimized/mopac_opt/parsed_sdf/00d7a6e64105b2a03ca77b860042613b_nuc_10.sdf,10,256.02301000000006
00e5ef222712e93368b7ed4c91dae6f0,True,754.89049,180.42316,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00e5ef222712e93368b7ed4c91dae6f0_nuc_1.out,53,./mopac_optimized/mopac_opt/parsed_sdf/00e5ef222712e93368b7ed4c91dae6f0_nuc_1.sdf,1,151.37516000000005
00f8989d06467c5ad02aca74a67ffc82,True,247.18866,59.07951,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00f8989d06467c5ad02aca74a67ffc82_nuc_24.out,49,./mopac_optimized/mopac_opt/parsed_sdf/00f8989d06467c5ad02aca74a67ffc82_nuc_24.sdf,24,186.05242000000007
0110aba39309c01c4223ddbaab685127,True,-31.20735,-7.45873,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0110aba39309c01c4223ddbaab685127_nuc_18.out,47,./mopac_optimized/mopac_opt/parsed_sdf/0110aba39309c01c4223ddbaab685127_nuc_18.sdf,18,204.09137000000007
0114b273674f9703a00d9e7235d95085,True,35.35674,8.45046,1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0114b273674f9703a00d9e7235d95085_nuc_19.out,49,./mopac_optimized/mopac_opt/parsed_sdf/0114b273674f9703a00d9e7235d95085_nuc_19.sdf,19,117.55625000000003
