name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA_values,cm5,split
000c3894233c26a3b015883c14603312,True,-3093391.795569731,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,223.4292465061881,"[ 0.15825 -0.42664 -0.0294   0.16359  0.       0.56281  0.42439  0.
 -0.0563   0.3378   0.       0.       0.       0.       0.       0.
  0.      -0.61489 -0.10144  0.      -0.58327 -0.0894   0.       0.
  0.       0.       0.12285  0.       0.      -0.45776  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
000e06ec69579daf09db08af311e51f7,True,-3159855.0772525687,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,25,246.94161865860224,"[-0.03202  0.18991 -0.01586  0.00384  0.      -0.61562 -0.11756  0.
 -0.02209  0.12969  0.      -0.02437 -0.10548  0.       0.       0.
  0.       0.47613  0.       0.      -0.07832  0.10751  0.       0.
  0.       0.       0.24031 -0.15078  0.       0.61665  0.       0.
  0.       0.       0.      -0.08263 -0.08504  0.       0.09691  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",val
001928ff712c3ea43419cf7e149cf37f,True,-2959073.84870679,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,289.10567068262026,"[ 0.22526 -0.4289  -0.052   -0.12327  0.       0.17363  0.       0.
 -0.13563  0.11845  0.      -0.13561  0.11112  0.       0.       0.
  0.       0.12232  0.       0.       0.       0.       0.       0.
  0.       0.       0.56037  0.11679  0.       0.       0.       0.
  0.       0.       0.       0.11155  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
002f81965f7444fc81ae0acfebc3151f,True,-3238777.8525600983,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,236.7216779901646,"[ 0.2012  -0.70624  0.1936  -0.11499  0.       0.08856  0.45949  0.
 -0.53082  0.19016  0.       0.40292 -0.08293  0.       0.       0.
  0.      -0.00278  0.11351  0.10362  0.       0.       0.       0.
  0.       0.       0.       0.       0.      -0.70908 -0.14996  0.
  0.       0.       0.      -0.6289  -0.03538  0.       0.0895   0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
003b38175a41b5c511927d10a2a80a08,True,-3041887.7474431195,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,256.79233533050865,"[-0.01547 -0.14689 -0.08818 -0.09939  0.      -0.18088  0.10401  0.09797
 -0.09249  0.09527  0.      -0.09742  0.08871  0.       0.       0.
  0.       0.63641  0.13043  0.11945  0.       0.       0.       0.
  0.       0.      -0.01033  0.08309  0.       0.       0.       0.
  0.       0.       0.       0.08913  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0043f6d39d789b9227240b21a3f21c71,True,-1818002.4760068783,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,206.71818360313773,"[ 0.24901 -0.30819 -0.16912 -0.17312  0.      -0.40397  0.       0.
  0.10671  0.11518  0.10931  0.10741  0.11069  0.10217  0.       0.
  0.       0.21425  0.       0.       0.       0.       0.       0.
  0.       0.      -0.61026 -0.15464  0.09302  0.       0.       0.
  0.       0.       0.      -0.15551  0.09417  0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0048fd55bf6fe2f48e0991a9e1aa8991,True,-2816881.414703099,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,12,352.64958538254723,"[ 0.09382 -0.6454  -0.15437  0.10537  0.       0.16519  0.46033  0.
 -0.02055  0.0934   0.       0.       0.       0.       0.       0.
  0.      -0.11446  0.       0.       0.       0.       0.       0.
  0.       0.      -0.11909  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",val
00579a1b36a303861e83c4e2b3382365,True,-3231195.8240642715,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,210.6900602816604,"[-0.03371  0.22424  0.26294 -0.0891   0.      -0.2885   0.25283  0.
 -0.60091 -0.15697  0.      -0.08797  0.10937  0.       0.       0.
  0.       0.       0.       0.      -0.51196 -0.14215  0.       0.
  0.       0.       0.467    0.       0.       0.45295  0.11853  0.
  0.       0.       0.       0.10423  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
007334e4fd427660f5fc9b5d1646e55b,True,-3659601.658052095,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,24,249.27245836891237,"[ 0.19055 -0.63328  0.15871 -0.1093   0.       0.59698  0.       0.
 -0.48104 -0.11805  0.      -0.10487  0.09403  0.       0.       0.
  0.      -0.6644   0.       0.       0.       0.       0.       0.
  0.       0.      -0.04073  0.       0.      -0.10096  0.09699  0.
  0.       0.       0.       0.08724  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
008257fe33f86aa815834cd38b04be6d,True,-4261669.874336848,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,22,195.86181659903377,"[-0.12294  0.04281  0.       0.       0.       0.26469 -0.00346  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.      -0.51779 -0.1909   0.      -0.16214 -0.1754   0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
