nuc_prod_name,nuc_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
f4b58b044985f263b747c430938ca8f6_nuc_6,C[C@H]1CCCC[N+]1(C)c1ccc(N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)nn1,[H]c1c(N2C([H])([H])C([H])([H])N(S(=O)(=O)c3c([H])c([H])c(Cl)c([H])c3[H])C([H])([H])C2([H])[H])nnc([N+]2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])c1[H],1,True,True
fdfb2227c4591fea7726e3cd6f7438fe_nuc_7,CC1C=C(O)C(NC(=O)c2noc3c2CCC3)=C[C+]1Cl,[H]OC1=C([H])C([H])(C([H])([H])[H])[C+](Cl)C([H])=C1N([H])C(=O)c1noc2c1C([H])([H])C([H])([H])C2([H])[H],1,True,True
8915797f4c1f71dfcbfc4937d1541daa_nuc_12,CO[C+](OCCl)[C@@H]1C[C@@H](O)[C@H](OC)C2C[C@@H](O)CCC21,[H]O[C@@]1([H])C([H])([H])C([H])([H])C2([H])C([H])(C1([H])[H])[C@@]([H])(OC([H])([H])[H])[C@]([H])(O[H])C([H])([H])[C@@]2([H])[C+](OC([H])([H])[H])OC([H])([H])Cl,1,True,True
ecbe282784e2b57486e2dee10a7c576d_nuc_20,CSC1=C(CC(N)=O)C2=CC(OCCCC(=O)O)=C[CH+]C2(C)N1Cc1ccccc1,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])[C+]([H])C2(C([H])([H])[H])C(=C1[H])C(C([H])([H])C(=O)N([H])[H])=C(SC([H])([H])[H])N2C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],1,True,True
acf9670b20356f7c7a6f228d4ff2d336_nuc_8,C[N+]1(Cc2coc(-c3ccc(Cl)cc3Cl)n2)CCN(c2ccc(F)cc2)CC1,[H]c1oc(-c2c([H])c([H])c(Cl)c([H])c2Cl)nc1C([H])([H])[N+]1(C([H])([H])[H])C([H])([H])C([H])([H])N(c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C1([H])[H],1,True,True
f0fe11d563bb5e9e09ac29b1d495fe98_nuc_18,COc1cccc(-c2csc(NC(=O)NC3=C[CH+]C(C)C=C3)n2)c1,[H]C1=C([H])C([H])(C([H])([H])[H])[C+]([H])C([H])=C1N([H])C(=O)N([H])c1nc(-c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])c([H])s1,1,True,True
bb185498e228cece5e811167995daaf9_nuc_7,Cc1cc2c(s1)C[NH+](C)[C@H]1CCc3cc(O)c(O)cc3[C@H]21,[H]Oc1c([H])c2c(c([H])c1O[H])[C@]1([H])c3c(sc(C([H])([H])[H])c3[H])C([H])([H])[N+]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C2([H])[H],1,True,True
7436d03c67474ba06d9bcd4390d7df26_nuc_9,C=C[C@H]1C[C@H]2C=CCC[O+](C)P(=O)(O2)O1,[H]C([H])=C([H])[C@]1([H])OP2(=O)O[C@]([H])(C([H])=C([H])C([H])([H])C([H])([H])[O+]2C([H])([H])[H])C1([H])[H],1,True,True
7c5e822d2d3e234bfeb2780288052310_nuc_18,C[Cl+]c1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c([Cl+]C([H])([H])[H])c2[H])C(=O)C3([H])[H])c([H])c1[H],1,True,True
04dabfe3263920946f1f56ea61611cee_nuc_12,C=Cc1cn(C2=CC=C(Cl)[C+](Cl)C2C)nn1,[H]C([H])=C([H])c1nnn(C2=C([H])C([H])=C(Cl)[C+](Cl)C2([H])C([H])([H])[H])c1[H],1,True,True
