name,smiles,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
f4b58b044985f263b747c430938ca8f6,C[C@H]1CCCCN1c1ccc(N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)nn1,[H]c1c(N2C([H])([H])C([H])([H])N(S(=O)(=O)c3c([H])c([H])c(Cl)c([H])c3[H])C([H])([H])C2([H])[H])nnc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])c1[H],0,True,True
fdfb2227c4591fea7726e3cd6f7438fe,O=C(Nc1cc(Cl)ccc1O)c1noc2c1CCC2,[H]Oc1c([H])c([H])c(Cl)c([H])c1N([H])C(=O)c1noc2c1C([H])([H])C([H])([H])C2([H])[H],0,True,True
8915797f4c1f71dfcbfc4937d1541daa,CO[C@@H]1C2C[C@@H](O)CCC2[C@H](C(=O)OCCl)C[C@H]1O,[H]O[C@@]1([H])C([H])([H])C([H])([H])C2([H])C([H])(C1([H])[H])[C@@]([H])(OC([H])([H])[H])[C@]([H])(O[H])C([H])([H])[C@@]2([H])C(=O)OC([H])([H])Cl,0,True,True
ecbe282784e2b57486e2dee10a7c576d,CSc1c(CC(N)=O)c2cc(OCCCC(=O)O)ccc2n1Cc1ccccc1,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c2c(c1[H])c(C([H])([H])C(=O)N([H])[H])c(SC([H])([H])[H])n2C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0,True,True
acf9670b20356f7c7a6f228d4ff2d336,Fc1ccc(N2CCN(Cc3coc(-c4ccc(Cl)cc4Cl)n3)CC2)cc1,[H]c1oc(-c2c([H])c([H])c(Cl)c([H])c2Cl)nc1C([H])([H])N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C1([H])[H],0,True,True
f0fe11d563bb5e9e09ac29b1d495fe98,COc1cccc(-c2csc(NC(=O)Nc3ccccc3)n2)c1,[H]c1sc(N([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])nc1-c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H],0,True,True
bb185498e228cece5e811167995daaf9,Cc1cc2c(s1)CN[C@H]1CCc3cc(O)c(O)cc3[C@H]21,[H]Oc1c([H])c2c(c([H])c1O[H])[C@]1([H])c3c(sc(C([H])([H])[H])c3[H])C([H])([H])N([H])[C@@]1([H])C([H])([H])C2([H])[H],0,True,True
7436d03c67474ba06d9bcd4390d7df26,C=C[C@H]1C[C@H]2C=CCCOP(=O)(O2)O1,[H]C([H])=C([H])[C@]1([H])OP2(=O)OC([H])([H])C([H])([H])C([H])=C([H])[C@@]([H])(O2)C1([H])[H],0,True,True
7c5e822d2d3e234bfeb2780288052310,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c(Cl)c2[H])C(=O)C3([H])[H])c([H])c1[H],0,True,True
04dabfe3263920946f1f56ea61611cee,C=Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,[H]C([H])=C([H])c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H],0,True,True
