name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA Values [kJ/mol]
9cbfdcc77dc4550e6ad46ef227315c95,True,-2919008.7463418306,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,227.73553831037134
a0cb7d04c1666af411d199e816713b07,True,-2725411.036895013,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,15,320.4177875444293
acd90dcaf6a6d3688e9ec1bf7dad8917,True,-2785612.749044122,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,15,193.13310869177803
c72ad5012e3f3b1e6e25ed580811512b,True,-3216336.5848627114,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,304.4448890821077
fd2bc6ff5f577e58b22e165ccae9e28f,True,-2668419.114823489,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,185.57406452763826
560ad2c183c2bf08fa4eedf9b264a5af,True,-3681520.2556401226,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,15,233.75843421090394
41d344edd351331457874b758d17e2af,True,-4655113.956569962,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,241.81924283970147
4c1053ccc782654694c261583088649e,True,-10381205.964756245,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,292.85112953558564
7a90603cc6f79f24cd45225704815465,True,-3497307.6551260385,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,24,252.3228687318042
db5d6bf71b35db105905b0e25e829507,True,-3761932.1803543554,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,21,203.55642055533826
4afc2443c51903cfabe28d0e251f9840,True,-9170624.572561683,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,165.77180675044656
cce1459b49dc008e2e4ab9f68495dc61,True,-4468726.819710484,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,26,350.58126937039196
658e23a58f54d34695e562035fa7668b,True,-2555094.165123864,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,261.8893409492448
787c59220cb7fbd2776a78a0d349a8ed,True,-2819518.990340149,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,302.0815194337629
5ac070519185a5e6b553457f5c5fbcad,True,-2658760.6004695995,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,232.8025922300294
0e615187df5b6fd7b002bca6f444382e,True,-4304178.826338551,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,281.6251499578357
b6bee4cb50e85cfd50ded8ce48088bf8,True,-3440161.9851678405,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,274.1076884549111
3806cf8478deacf6fd97e9c546647c95,True,-4543410.743028778,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,335.17528451792896
4b942bac8c684195d1874c4690be9038,True,-5503121.142573956,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,291.65818131901324
29ec13e752beb9c1d05a3faf50656f42,True,-2109628.4892333928,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,196.73908788058907
37179f785351932de603a58bcf246c21,True,-3749915.626010893,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,231.9460256365128
3a7ee8cdc32ea0ce20022a742d887ad2,True,-1930696.309667628,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,386.7740559412632
5494b14ddda01890b94991da182e68af,True,-2970590.8106616,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,22,255.7059036293067
a9e7fcaeb7811811bfdfb7bb4f5074ea,True,-3542686.8015234824,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,315.83406970789656
196b24b1e88697f2cdbaea7e882e7cb7,True,-4516042.748716413,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,188.28543888684362
5d58b6012e93c8b3545e24c6ef2598e4,True,-2727846.418455642,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,12,372.19482775963843
fc8a4038f725b9b608aa29a2aaaefcb4,True,-3056648.501138333,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,452.7417136519216
c3d80b55e54decaf9131c1ee3448d457,True,-2975003.445146742,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,356.18251004768535
961212c3fbe467e198c106278027fdd4,True,-4350683.271466163,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,220.86072032619268
bf8661293098bfe084eaa5f23eafa2aa,True,-9805547.367432095,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,186.71145192533731
0f1f7a4744abd6157b94a4d029a27d05,True,-2835163.54167941,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,175.2443464724347
08f4129fa62135d4acf07e5ae6c08daa,True,-3259954.0831223,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,309.806736713741
831fda42521ea24c28da2289d5b2f3fa,True,-2747994.396048852,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,245.5408621551469
e12de06258f23e017d52c2c583a07ec9,True,-4116664.5950647625,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,265.279183766339
224ea7af6d08aff64dd3134cae4ae2f4,True,-3510369.2950935317,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,247.4505717419088
82a9cd6ca6ed5915b2954994196c0bb8,True,-5340459.566223082,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,320.84423167910427
67d489414bfda126c4342a6d12871c8b,True,-3261285.684074243,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,21,214.48280437896028
8ce6ddf8b1db4a4ca489abf9ffd3510e,True,-3271949.5349608543,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,254.91843755776063
eb5926c65975d6edf992f62eab2eed86,True,-10406505.326079609,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,242.85615761950612
c664a1eace201dc3aef754d1d2075804,True,-4265311.202070168,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,222.16598741244525
5baa85658fbba66cfd209e7aee128e33,True,-4416974.684379694,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,233.09045462310314
1295bb7413c5db66de7785cc8049ed17,True,-4637366.2680845335,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,257.44913029205054
2e01320892d09c739ff99be74298776e,True,-2574101.1185233947,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,262.97513728030026
9a63a5d6d5b79632d1bfb9507ad2a8da,True,-6062981.881257243,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,217.10365676600486
0bded587a7f85b48c130985c84dd4e82,True,-2200611.7729914784,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,209.3237503315322
41c2a22103b4c52fd7e75ee1667b7e0b,True,-5676365.994701428,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,27,285.5076336301863
fdbe6efd7c8794c1e04d36599f46b1fe,True,-5644078.393288627,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,283.1593343485147
50dd47694f6c00e013dc63d7d71d99b9,True,-3277849.1102825035,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,298.1121579827741
a41f1324ff481696311060136eff8172,True,-2380411.350814061,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,295.3300237865187
8b73331a34b07496dcbae60b04b23c20,True,-3146269.868887312,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,390.67369725136086
630b12ee2a078b2102214fdfa1852a2e,True,-4408913.590096805,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,382.51850191596895
1d210e9cffe221818692a72619283c57,True,-2213952.5848907484,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,238.8300433717668
ca76bb250573690a280847fd0e3d6e31,True,-2997430.8921358865,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,233.8676287359558
067b7830e158d83463c6f73b0c8aafdb,True,-1985173.2919533567,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,296.79227999271825
f6c14adf106bb71d654d06844c1d4d29,True,-2646247.6048620096,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,217.75184008758515
179be15103b2d9d768820932b615203c,True,-2703961.278747162,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,260.0314429705031
d2e990cfcedee4fb2cb80453af706ec2,True,-3598844.1573225926,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,250.08778098970652
73a960e7caf982b6931da7e0ddf22efb,True,-3502884.3587514563,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,204.10310206422582
30aced9b728f8c2e5cc6e6bfe505e648,True,-10422411.198085813,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,175.66201093792915
a3c9fba1034181a6046c33d71b48cc54,True,-3582235.489793085,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,11,258.6263780207373
25a1ee88687c3983643ca6e0d89b08d3,True,-3372809.538899855,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,346.35639430675656
16cceab052954875e26ec628aa000f82,True,-3939875.916620586,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,236.16052997671068
995ccf83e7040c69a2dc52c2fa9fe6a4,True,-2153989.15211668,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,365.27031957078725
1a68dd56495c68f2450e0e2402ea05e0,True,-4128403.7907461855,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,299.8371636783704
48ca78888c394461d7761bf91307d69e,True,-11140399.504758803,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,145.96044374257326
cb04de048a0aac4e7d7471e54508bef7,True,-2854858.865538144,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,373.22924831695855
2781126e834c101c4f9576fd6e696eb5,True,-2930079.951985701,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,260.385200150311
7427560220c1f1512a236d614fab417e,True,-3227707.8047615164,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,254.18686837237328
4bbf22895e36f50a82a41b5390cadafa,True,-5506321.223711843,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,248.75308205373585
8737a31e684554e9475dabeefe97b4a9,True,-2725679.053347128,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,202.9456532257609
a723cdd3e0d887a49adeed7a35f7c344,True,-3376254.887192885,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,101.16125661553815
04b724eba0d1612de69c0c57eb215cbc,True,-2596192.4940990885,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,148.27713726041839
99c15cdc591322f97e639120385119e7,True,-3801375.646558431,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,207.7227469785139
da1c39d7d056d4a9186fe1d51423ce89,True,-2960519.192782955,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,143.08273873804137
cf1afa0201df81a33423166fba28d85e,True,-3468052.830118911,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,21,267.6782076987438
463e3b57da899f1983aaa89b661bdcda,True,-4717367.747749805,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,223.88726489804685
6b5be3901c1e48b0cb03f9a6de507823,True,-3627110.380022059,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,222.76769939158112
162e5abd5a99e8d0e540338719cbc652,True,-2070097.0192915795,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,255.5569380382076
28a34f93af1ac16cfeae2c2a49822aae,True,-3825927.886076341,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,247.1749205472879
4115fbcf1a227bb6b658b6ae2326db94,True,-3395647.284776401,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,307.61882919771597
5e47ec2f5a2b1459d01a6d2a83885da7,True,-4062140.836619648,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,305.35806407034397
51c0f6a70316af57d7571be23f00e8fa,True,-4709865.337369415,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,200.91684835590422
5b2d8ce990dad666be11a1552df8d6e7,True,-3456731.473812024,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,222.1821079798974
67dbab8890e753e41d742446f0afc2d3,True,-5810173.3569706185,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,291.75094021391124
0360b42b05f76c6d331353fce57bc9b2,True,-3423751.523082137,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,24,374.69895043736324
0d17f52023d69d18380d27158bd5abda,True,-10906626.880248096,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,29,196.5061929449439
6b9c4e7d74a4c8953b9dc0a6faf9cb0a,True,-4677649.457042082,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,219.87697190977633
620106629606507f29de9cca87ffb0e8,True,-11265464.684405502,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,174.05943228676915
68e46515784bbecd61788463bfa97018,True,-3191800.570065425,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,401.4475395549089
e846e466b190c14625f31a6aa3e1b1ac,True,-1875814.6704225407,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,278.42233722424135
5e17c8eff70a4a32fb169841f1db7a0f,True,-2752111.12502828,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,367.3102434319444
af63830ff253d3d2fe69e01224b0ff11,True,-4486843.313321319,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,243.85405747778714
50609268c8e9049dd428f7e06f3d71b3,True,-3418644.6589496634,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,364.3420899682678
9941011294dbc287f6f1a4bc9fa1e13f,True,-3186639.074118844,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,357.2806777325459
28d6054bf3de2ba9351305a182c21a62,True,-5529136.974046074,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,11,272.219823025167
877717d24fe5bd46b25313972124d154,True,-2464679.050326381,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,11,348.8797461427748
8c58bae6dd1ff72b33a0c79c4c8b59e6,True,-3317281.39794978,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,278.3134498819709
0cfae1796dec3a573c5d8045b19f5be7,True,-2167016.765119416,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,287.5171305760741
5378de13de36d9cec5713f88667e5cdf,True,-3152264.402487976,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,289.48736580275
f83804c9b9d235aef67df2555f14e818,True,-4132693.86470828,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,22,184.4400535239838
83a31c2c3a2fb8698ecce832815e258d,True,-3500732.4762398703,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,170.91505529219285
4b98e112f0ec37259a4fd3dc027b2eb5,True,-2206497.017436197,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,209.4262472074479
8877b1f949e72cf0504bc4a9a334df16,True,-3004223.928383844,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,192.18490953976288
290e06f602fbafb69472a32a31485838,True,-2355081.965344128,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,300.8852709638886
e3ba0fd8cbbc4092121e89895a87a4d4,True,-6177996.015494362,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,317.3333349553868
d8926780906a12eec7a302201ab6206c,True,-4417510.344620523,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,20,261.7977976575494
