smiles,fold
CCCNCc1c(O)ccc2c(CNCCC)c(O)ccc12,train_fold1
CCn1cc(CCCC(=O)NCc2ccccc2OC)c2ccccc21,train_fold1
CC1CN(C)CCN1C(=O)c1ccn(-c2ccc(F)cc2)n1,train_fold1
CO/N=C(\C#N)C(=O)NC1=NOC(C)C1C,train_fold1
Cc1ccc(Cl)cc1NC(=O)Cn1cc2c(n1)CCCC2,train_fold1
C[C@H](C(=O)Nc1ccc(-c2ccsc2)cc1)n1cnc2c1c(=O)n(C)c(=O)n2C,train_fold1
O=C(COc1ccccc1Cl)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,train_fold1
CC(=O)c1cc(NC(=O)c2ccccc2)c(=O)oc1C,train_fold1
CC1CCCC(C)N1C(=S)SSC(=S)N1C(C)CCCC1C,train_fold1
C=Cc1c(C)c(O)cc2c1CCC(C(C)(C)C(=O)O)[C@@]2(C)CC(=O)O,train_fold1
Fc1ccc(-c2c[nH]c([C@@H]3COCCN3)n2)cc1,train_fold1
O=C(NO)c1cnc(Nc2c(Cl)cccc2Cl)nc1,train_fold1
O/N=C1\CC(c2ccco2)NC(c2ccco2)C1Cc1ccccc1,train_fold1
CN(C)c1n[n+]([O-])c2cc3c(cc2[n+]1[O-])CCC3,train_fold1
COc1cc([N+](=O)[O-])c(OC)cc1-c1nc2sc(Cl)cn2c1/C=N\NC1=NCCN1,train_fold1
OCCCOc1ccc2c(c1)C(O)(C(F)(F)F)c1ccccc1-2,train_fold1
O=C(NCc1ccc(Cl)cc1Cl)C1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,train_fold1
COc1ccc2c(c1C)CC(CCN(C)C)(c1ccc(Cl)cc1)OC2=O,train_fold1
COc1ccccc1S(=O)(=O)N1Cc2ccccc2COCC1Cc1ccccc1,train_fold1
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1c(Cl)c(Br)cc2ccc(O)cc12,train_fold1
Cc1c(C(=O)O)sc2nc(C(C)C)[nH]c(=O)c12,train_fold1
Oc1ccc(Oc2ccccc2F)c2cccnc12,train_fold1
O=C(O[C@H]1C2CC3CC1C[C@](O)(C3)C2)N1CC[C@@H](Oc2ccc(C(F)(F)F)cn2)C1,train_fold1
O=S(=O)(c1ccc(Cl)cc1)c1nc(-c2ccco2)oc1SCc1ccc(F)cc1,train_fold1
CCC1(CC)SC(NC(C)=O)=NN1C(C)=O,train_fold1
Cc1ccncc1C#CCN,train_fold1
